"","Id","When","Type","Alberta","ModifiedDate"
"51",75300,"5/1/2008 12:00:00 AM","Natural Gas",10995861300,"8/21/2020 1:23:15 PM"
"52",75301,"6/1/2008 12:00:00 AM","Conventional Oil",2378587.6,"8/21/2020 1:23:15 PM"
"53",75302,"6/1/2008 12:00:00 AM","Non-Conventional Oil",5613894.4,"8/21/2020 1:23:15 PM"
"54",75303,"6/1/2008 12:00:00 AM","Natural Gas",10390330200,"8/21/2020 1:23:15 PM"
"55",75304,"7/1/2008 12:00:00 AM","Natural Gas",10952690100,"8/21/2020 1:23:15 PM"
"56",75305,"7/1/2008 12:00:00 AM","Conventional Oil",2526018.2,"8/21/2020 1:23:15 PM"
"57",75306,"7/1/2008 12:00:00 AM","Non-Conventional Oil",6236885.7,"8/21/2020 1:23:15 PM"
"58",75307,"8/1/2008 12:00:00 AM","Non-Conventional Oil",6355391.7,"8/21/2020 1:23:15 PM"
"59",75308,"8/1/2008 12:00:00 AM","Natural Gas",10860352600,"8/21/2020 1:23:15 PM"
"60",75309,"8/1/2008 12:00:00 AM","Conventional Oil",2538445.1,"8/21/2020 1:23:15 PM"
"61",75310,"9/1/2008 12:00:00 AM","Conventional Oil",2458040.1,"8/21/2020 1:23:15 PM"
"62",75311,"9/1/2008 12:00:00 AM","Natural Gas",10401685700,"8/21/2020 1:23:15 PM"
"63",75312,"9/1/2008 12:00:00 AM","Non-Conventional Oil",5779555.8,"8/21/2020 1:23:15 PM"
"64",75313,"10/1/2008 12:00:00 AM","Natural Gas",10722789700,"8/21/2020 1:23:15 PM"
"65",75314,"10/1/2008 12:00:00 AM","Conventional Oil",2555471.9,"8/21/2020 1:23:15 PM"
"66",75315,"10/1/2008 12:00:00 AM","Non-Conventional Oil",6021170.7,"8/21/2020 1:23:15 PM"
"67",75316,"11/1/2008 12:00:00 AM","Conventional Oil",2463236.5,"8/21/2020 1:23:15 PM"
"68",75317,"11/1/2008 12:00:00 AM","Non-Conventional Oil",6144194.3,"8/21/2020 1:23:15 PM"
