"","Id","StructureType","Area","When","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"28",223027,"Total institutional and governmental","All areas","6/1/2011 12:00:00 AM",43973000,56131000,590782000,14575000,8713000,4741000,6094000,344013000,1888000,96925000,13696000,"7/31/2020 10:09:33 AM"
"29",223028,"Total residential","All areas","6/1/2011 12:00:00 AM",586422000,538655000,3667600000,115366000,49932000,66034000,72819000,1233227000,11617000,850345000,119981000,"7/31/2020 10:09:33 AM"
"30",223029,"Total residential and non-residential","All areas","6/1/2011 12:00:00 AM",1009296000,801154000,6199002000,168234000,82507000,95886000,100156000,2200177000,23367000,1474268000,212039000,"7/31/2020 10:09:33 AM"
"31",223030,"Total commercial","All areas","7/1/2011 12:00:00 AM",351419000,172466000,1495846000,34388000,20983000,31155000,38219000,466532000,6567000,296379000,63190000,"7/31/2020 10:09:33 AM"
"32",223031,"Total industrial","All areas","7/1/2011 12:00:00 AM",102112000,31572000,419126000,3717000,4435000,445000,2058000,168383000,7955000,77164000,19569000,"7/31/2020 10:09:33 AM"
"33",223032,"Total institutional and governmental","All areas","7/1/2011 12:00:00 AM",53779000,63064000,659149000,6636000,7281000,1532000,8008000,381784000,1000,78432000,37587000,"7/31/2020 10:09:33 AM"
"34",223033,"Total residential","All areas","7/1/2011 12:00:00 AM",630033000,484825000,3807144000,83245000,42537000,66807000,79344000,1369915000,12377000,895437000,131355000,"7/31/2020 10:09:33 AM"
"35",223034,"Total residential and non-residential","All areas","7/1/2011 12:00:00 AM",1137343000,751926000,6381265000,127986000,75236000,99939000,127629000,2386615000,26900000,1347412000,251701000,"7/31/2020 10:09:33 AM"
"36",223035,"Total commercial","All areas","8/1/2011 12:00:00 AM",364892000,153840000,1488292000,25459000,17219000,19905000,33717000,542835000,5253000,265580000,58671000,"7/31/2020 10:09:33 AM"
"37",223036,"Total industrial","All areas","8/1/2011 12:00:00 AM",141625000,38226000,374350000,12040000,2783000,3332000,6486000,94120000,93000,65843000,6332000,"7/31/2020 10:09:33 AM"
"38",223037,"Total institutional and governmental","All areas","8/1/2011 12:00:00 AM",83684000,49838000,568412000,12438000,13552000,21065000,5825000,281911000,6947000,74894000,18230000,"7/31/2020 10:09:33 AM"
"39",223038,"Total residential","All areas","8/1/2011 12:00:00 AM",597432000,525707000,3606924000,92380000,50100000,59059000,86393000,1241682000,16310000,807148000,121511000,"7/31/2020 10:09:33 AM"
"40",223039,"Total residential and non-residential","All areas","8/1/2011 12:00:00 AM",1187633000,767611000,6037978000,142317000,83654000,103361000,132422000,2160548000,28603000,1213464000,204743000,"7/31/2020 10:09:33 AM"
"41",223040,"Total commercial","All areas","9/1/2011 12:00:00 AM",356411000,105488000,1392599000,42328000,13903000,14005000,41584000,488648000,3270000,254386000,69987000,"7/31/2020 10:09:33 AM"
"42",223041,"Total industrial","All areas","9/1/2011 12:00:00 AM",125301000,36112000,442134000,7654000,7967000,1557000,5192000,168073000,584000,72801000,16760000,"7/31/2020 10:09:33 AM"
"43",223042,"Total institutional and governmental","All areas","9/1/2011 12:00:00 AM",47398000,35141000,433680000,13352000,12962000,2810000,3236000,192835000,3958000,88738000,28643000,"7/31/2020 10:09:33 AM"
"44",223043,"Total residential","All areas","9/1/2011 12:00:00 AM",622164000,451446000,3417466000,88894000,45067000,59581000,73730000,1195597000,12094000,771048000,88200000,"7/31/2020 10:09:33 AM"
"45",223044,"Total residential and non-residential","All areas","9/1/2011 12:00:00 AM",1151275000,628187000,5685879000,152228000,79900000,77953000,123743000,2045153000,19906000,1186973000,203590000,"7/31/2020 10:09:33 AM"
"46",223045,"Total commercial","All areas","10/1/2011 12:00:00 AM",253951000,92031000,1227229000,33984000,13942000,56509000,9644000,453360000,5558000,254981000,50611000,"7/31/2020 10:09:33 AM"
"47",223046,"Total industrial","All areas","10/1/2011 12:00:00 AM",93280000,31112000,382762000,19925000,2967000,1980000,6838000,131366000,2077000,78511000,5699000,"7/31/2020 10:09:33 AM"
"48",223047,"Total institutional and governmental","All areas","10/1/2011 12:00:00 AM",60193000,95985000,769564000,11072000,13938000,5183000,2447000,468622000,694000,81663000,24854000,"7/31/2020 10:09:33 AM"
"49",223048,"Total residential","All areas","10/1/2011 12:00:00 AM",599810000,477822000,3628868000,90715000,46898000,63418000,59466000,1337652000,10901000,796519000,137538000,"7/31/2020 10:09:33 AM"
"50",223049,"Total residential and non-residential","All areas","10/1/2011 12:00:00 AM",1007234000,696950000,6008423000,155696000,77745000,127090000,78395000,2.391e+09,19230000,1211674000,218703000,"7/31/2020 10:09:33 AM"
"51",223050,"Total commercial","All areas","11/1/2011 12:00:00 AM",225330000,129636000,1163192000,35846000,16324000,10839000,21008000,386460000,6019000,251036000,79225000,"7/31/2020 10:09:33 AM"
