"","Id","When","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate","Type"
"45",27302,"2/1/2013 12:00:00 AM",412,582,5374,70,228,135,224,1556,32,2058,73,"8/5/2020 8:48:21 AM","Personal"
"46",27303,"3/1/2013 12:00:00 AM",429,597,5796,107,207,136,283,1885,29,2030,90,"8/5/2020 8:48:21 AM","Personal"
"47",27304,"3/1/2013 12:00:00 AM",12,22,288,3,2,0,6,93,0,137,13,"8/5/2020 8:48:21 AM","Corporate"
"48",27305,"4/1/2013 12:00:00 AM",15,13,300,6,5,2,7,112,1,133,6,"8/5/2020 8:48:21 AM","Corporate"
"49",27306,"4/1/2013 12:00:00 AM",464,676,6634,109,253,138,327,2136,40,2384,104,"8/5/2020 8:48:21 AM","Personal"
"50",27307,"5/1/2013 12:00:00 AM",434,678,6576,117,272,159,319,2085,34,2384,91,"8/5/2020 8:48:21 AM","Personal"
"51",27308,"5/1/2013 12:00:00 AM",11,22,287,1,5,4,6,78,0,153,7,"8/5/2020 8:48:21 AM","Corporate"
"52",27309,"6/1/2013 12:00:00 AM",9,17,230,3,7,1,8,65,0,112,8,"8/5/2020 8:48:21 AM","Corporate"
"53",27310,"6/1/2013 12:00:00 AM",375,578,5602,104,234,135,265,1803,36,2000,65,"8/5/2020 8:48:21 AM","Personal"
"54",27311,"7/1/2013 12:00:00 AM",385,586,5802,104,262,140,259,1835,53,2081,89,"8/5/2020 8:48:21 AM","Personal"
"55",27312,"7/1/2013 12:00:00 AM",9,8,247,3,5,0,5,71,0,138,8,"8/5/2020 8:48:21 AM","Corporate"
"56",27313,"8/1/2013 12:00:00 AM",7,11,256,10,4,4,11,85,2,118,4,"8/5/2020 8:48:21 AM","Corporate"
"57",27314,"8/1/2013 12:00:00 AM",379,519,5654,99,265,109,283,1761,44,2097,94,"8/5/2020 8:48:21 AM","Personal"
"58",27315,"9/1/2013 12:00:00 AM",375,573,5651,95,213,115,300,1727,24,2127,101,"8/5/2020 8:48:21 AM","Personal"
"59",27316,"9/1/2013 12:00:00 AM",13,18,254,5,4,0,6,74,4,126,4,"8/5/2020 8:48:21 AM","Corporate"
"60",27430,"6/1/2018 12:00:00 AM",445,352,4679,159,183,140,328,1265,56,1666,99,"8/5/2020 8:48:21 AM","Personal"
"61",27431,"7/1/2018 12:00:00 AM",427,298,4437,109,214,115,291,1222,36,1607,117,"8/5/2020 8:48:21 AM","Personal"
"62",27432,"7/1/2018 12:00:00 AM",13,6,190,3,1,0,2,54,0,110,1,"8/5/2020 8:48:21 AM","Corporate"
"63",27433,"8/1/2018 12:00:00 AM",23,6,209,1,1,1,4,46,0,125,2,"8/5/2020 8:48:21 AM","Corporate"
"64",27434,"8/1/2018 12:00:00 AM",423,331,4635,107,199,119,293,1202,31,1803,124,"8/5/2020 8:48:21 AM","Personal"
"65",27435,"9/1/2018 12:00:00 AM",348,347,4477,109,198,217,293,1166,25,1753,113,"8/5/2020 8:48:21 AM","Personal"
"66",27436,"9/1/2018 12:00:00 AM",4,4,210,4,3,5,3,54,1,125,7,"8/5/2020 8:48:21 AM","Corporate"
"67",27437,"10/1/2018 12:00:00 AM",13,7,240,2,4,2,2,65,0,136,9,"8/5/2020 8:48:21 AM","Corporate"
"68",27438,"10/1/2018 12:00:00 AM",447,351,5083,152,200,109,310,1292,34,2071,116,"8/5/2020 8:48:21 AM","Personal"
"69",27439,"11/1/2018 12:00:00 AM",440,325,4650,136,214,126,295,1212,35,1754,107,"8/5/2020 8:48:21 AM","Personal"
"70",27440,"11/1/2018 12:00:00 AM",16,5,237,2,2,3,4,64,0,135,6,"8/5/2020 8:48:21 AM","Corporate"
"71",27441,"12/1/2018 12:00:00 AM",21,5,235,1,1,3,1,48,0,153,3,"8/5/2020 8:48:21 AM","Corporate"
"72",27442,"12/1/2018 12:00:00 AM",342,273,3852,89,178,101,240,1083,34,1401,105,"8/5/2020 8:48:21 AM","Personal"
"73",27443,"1/1/2019 12:00:00 AM",450,340,4032,81,152,82,263,1004,35,1511,113,"8/5/2020 8:48:21 AM","Personal"
"74",27444,"1/1/2019 12:00:00 AM",9,10,227,5,4,2,3,60,0,128,6,"8/5/2020 8:48:21 AM","Corporate"
"75",27445,"2/1/2019 12:00:00 AM",17,3,245,1,1,5,5,43,0,165,5,"8/5/2020 8:48:21 AM","Corporate"
"76",27446,"2/1/2019 12:00:00 AM",462,302,4099,93,151,119,214,1026,27,1605,98,"8/5/2020 8:48:21 AM","Personal"
"77",27447,"3/1/2019 12:00:00 AM",473,343,4645,121,217,115,299,1234,30,1700,111,"8/5/2020 8:48:21 AM","Personal"
