"","Id","When","Airport","FlightType","Alberta","ModifiedDate"
"50",290307,"2/1/2000 12:00:00 AM","All Airports","All Flight Types",914222,"8/25/2020 8:08:53 AM"
"51",290308,"3/1/2000 12:00:00 AM","All Airports","All Flight Types",1004484,"8/25/2020 8:08:53 AM"
"52",290309,"4/1/2000 12:00:00 AM","All Airports","All Flight Types",958946,"8/25/2020 8:08:53 AM"
"53",290310,"5/1/2000 12:00:00 AM","All Airports","All Flight Types",977067,"8/25/2020 8:08:53 AM"
"54",290311,"6/1/2000 12:00:00 AM","All Airports","All Flight Types",1017365,"8/25/2020 8:08:53 AM"
"55",290312,"7/1/2000 12:00:00 AM","All Airports","All Flight Types",1139188,"8/25/2020 8:08:53 AM"
"56",290313,"8/1/2000 12:00:00 AM","All Airports","All Flight Types",1168632,"8/25/2020 8:08:53 AM"
"57",290314,"9/1/2000 12:00:00 AM","All Airports","All Flight Types",1011931,"8/25/2020 8:08:53 AM"
"58",290315,"10/1/2000 12:00:00 AM","All Airports","All Flight Types",1034382,"8/25/2020 8:08:53 AM"
"59",290316,"11/1/2000 12:00:00 AM","All Airports","All Flight Types",880805,"8/25/2020 8:08:53 AM"
"60",290317,"12/1/2000 12:00:00 AM","All Airports","All Flight Types",953629,"8/25/2020 8:08:53 AM"
"61",290318,"1/1/2001 12:00:00 AM","All Airports","All Flight Types",934754,"8/25/2020 8:08:53 AM"
"62",290319,"2/1/2001 12:00:00 AM","All Airports","All Flight Types",905757,"8/25/2020 8:08:53 AM"
"63",290320,"3/1/2001 12:00:00 AM","All Airports","All Flight Types",1018887,"8/25/2020 8:08:53 AM"
"64",290321,"4/1/2001 12:00:00 AM","All Airports","All Flight Types",967045,"8/25/2020 8:08:53 AM"
"65",290322,"5/1/2001 12:00:00 AM","All Airports","All Flight Types",982766,"8/25/2020 8:08:53 AM"
"66",290323,"6/1/2001 12:00:00 AM","All Airports","All Flight Types",1024663,"8/25/2020 8:08:53 AM"
"67",290324,"7/1/2001 12:00:00 AM","All Airports","All Flight Types",1203012,"8/25/2020 8:08:53 AM"
"68",290325,"8/1/2001 12:00:00 AM","All Airports","All Flight Types",1257949,"8/25/2020 8:08:53 AM"
"69",290326,"9/1/2001 12:00:00 AM","All Airports","All Flight Types",839498,"8/25/2020 8:08:53 AM"
"70",290327,"10/1/2001 12:00:00 AM","All Airports","All Flight Types",897442,"8/25/2020 8:08:53 AM"
"71",290328,"11/1/2001 12:00:00 AM","All Airports","All Flight Types",794680,"8/25/2020 8:08:53 AM"
"72",290329,"12/1/2001 12:00:00 AM","All Airports","All Flight Types",908482,"8/25/2020 8:08:53 AM"
