"","Id","When","DataType","NAICS","PrincipalStatistics","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"27",265666,"3/1/1994 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",421802000,70770000,NA,30266000,6379000,2627000,5807000,1322318000,738000,483920000,41179000,"8/14/2020 10:57:46 AM"
"28",265667,"4/1/1994 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",468491000,78233000,NA,32708000,12050000,2146000,6327000,1261430000,2041000,458445000,41358000,"8/14/2020 10:57:46 AM"
"29",265668,"5/1/1994 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",477492000,76419000,NA,49972000,17960000,2245000,8470000,1363206000,8718000,518943000,61557000,"8/14/2020 10:57:46 AM"
"30",265669,"6/1/1994 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",390502000,81316000,NA,31823000,10817000,2374000,6260000,1323619000,7533000,500145000,32082000,"8/14/2020 10:57:46 AM"
"31",265670,"7/1/1994 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",400193000,82003000,NA,25711000,5957000,2151000,5623000,1173489000,1750000,437449000,28583000,"8/14/2020 10:57:46 AM"
"32",265671,"8/1/1994 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",437424000,86034000,NA,28326000,5459000,2129000,5041000,1336692000,2081000,478305000,24705000,"8/14/2020 10:57:46 AM"
"33",265672,"9/1/1994 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",454070000,93671000,NA,29127000,5252000,2679000,5591000,1300032000,900000,513901000,23815000,"8/14/2020 10:57:46 AM"
"34",265673,"10/1/1994 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",444632000,80583000,NA,31774000,6807000,2350000,5395000,1319509000,776000,488145000,31678000,"8/14/2020 10:57:46 AM"
"35",265674,"11/1/1994 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",461194000,81261000,NA,29044000,12748000,2239000,5212000,1348674000,820000,500257000,19398000,"8/14/2020 10:57:46 AM"
"36",265675,"12/1/1994 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",458924000,68868000,NA,27065000,7061000,2390000,4624000,1301641000,738000,497255000,24235000,"8/14/2020 10:57:46 AM"
"37",265676,"1/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",534434000,81123000,NA,31426000,8766000,2499000,6480000,1231341000,1365000,484296000,31730000,"8/14/2020 10:57:46 AM"
"38",265677,"2/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",486385000,79872000,NA,30114000,8723000,2828000,5538000,1224863000,1191000,491536000,29534000,"8/14/2020 10:57:46 AM"
"39",265678,"3/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",539202000,89297000,NA,33000000,8758000,3065000,8407000,1456472000,1340000,547154000,41274000,"8/14/2020 10:57:46 AM"
"40",265679,"4/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",531770000,82377000,NA,31110000,12746000,2928000,8797000,1311112000,2185000,530403000,51187000,"8/14/2020 10:57:46 AM"
"41",265680,"5/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",640621000,84752000,NA,55468000,18308000,2731000,13306000,1501861000,10575000,616330000,62309000,"8/14/2020 10:57:46 AM"
"42",265681,"6/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",501407000,86371000,NA,39775000,16661000,2746000,7734000,1383708000,8877000,568192000,46663000,"8/14/2020 10:57:46 AM"
"43",265682,"7/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",448027000,85085000,NA,28915000,8882000,2790000,5814000,1226195000,3984000,482085000,23678000,"8/14/2020 10:57:46 AM"
"44",265683,"8/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",468775000,80555000,NA,33367000,6820000,2567000,6524000,1304932000,2368000,513289000,41967000,"8/14/2020 10:57:46 AM"
"45",265684,"9/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",494664000,77701000,NA,33393000,6638000,2806000,6490000,1326429000,1331000,519427000,25461000,"8/14/2020 10:57:46 AM"
"46",265685,"10/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",517748000,78393000,NA,42285000,13915000,2985000,6552000,1315740000,1447000,514076000,28885000,"8/14/2020 10:57:46 AM"
"47",265686,"11/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",428931000,76227000,NA,34907000,8949000,2820000,5518000,1295116000,1258000,503913000,30005000,"8/14/2020 10:57:46 AM"
"48",265687,"12/1/1995 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",407339000,65427000,NA,29292000,7902000,2929000,5359000,1135372000,1170000,471455000,32060000,"8/14/2020 10:57:46 AM"
"49",265688,"1/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",405191000,64793000,NA,28472000,NA,NA,NA,1201977000,1280000,488002000,29327000,"8/14/2020 10:57:46 AM"
"50",265689,"2/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",403369000,62889000,NA,34715000,NA,NA,NA,1206662000,1189000,474451000,27551000,"8/14/2020 10:57:46 AM"
"51",265690,"3/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",452057000,73236000,NA,31268000,NA,NA,NA,1333464000,1392000,520627000,41118000,"8/14/2020 10:57:46 AM"
"52",265691,"4/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",476484000,79459000,NA,29782000,NA,NA,NA,1369730000,2732000,538463000,53886000,"8/14/2020 10:57:46 AM"
"53",265692,"5/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",691303000,89434000,NA,51477000,NA,NA,NA,1485433000,12222000,614619000,66706000,"8/14/2020 10:57:46 AM"
"54",265693,"6/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",470468000,78624000,NA,48061000,NA,NA,NA,1347245000,9916000,573782000,50313000,"8/14/2020 10:57:46 AM"
"55",265694,"7/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",479747000,83489000,NA,33636000,NA,NA,NA,1280675000,3563000,555874000,50620000,"8/14/2020 10:57:46 AM"
"56",265695,"8/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",475885000,76465000,NA,30456000,NA,NA,NA,1300192000,3221000,560930000,39149000,"8/14/2020 10:57:46 AM"
"57",265696,"9/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",475443000,81871000,NA,27536000,NA,NA,NA,1323183000,1642000,558571000,28813000,"8/14/2020 10:57:46 AM"
"58",265697,"10/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",540278000,80339000,NA,39494000,NA,NA,NA,1395315000,1317000,584687000,26984000,"8/14/2020 10:57:46 AM"
"59",265698,"11/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",462569000,74135000,NA,28326000,NA,NA,NA,1305822000,1284000,554459000,27896000,"8/14/2020 10:57:46 AM"
"60",265699,"12/1/1996 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",477372000,70554000,NA,26820000,NA,NA,NA,1244518000,1381000,541653000,31536000,"8/14/2020 10:57:46 AM"
"61",265700,"1/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",481100000,74095000,NA,38622000,NA,1855000,NA,1325656000,1459000,544002000,36955000,"8/14/2020 10:57:46 AM"
"62",265701,"2/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",491469000,69483000,NA,30078000,NA,1881000,NA,1259625000,1372000,525918000,65331000,"8/14/2020 10:57:46 AM"
"63",265702,"3/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",520983000,76510000,NA,28721000,NA,1913000,NA,1398774000,1496000,576408000,43807000,"8/14/2020 10:57:46 AM"
"64",265703,"4/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",541768000,91884000,NA,35468000,NA,1976000,NA,1466863000,1427000,611668000,46508000,"8/14/2020 10:57:46 AM"
"65",265704,"5/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",703088000,94350000,NA,55675000,NA,2093000,NA,1483473000,11157000,662358000,112758000,"8/14/2020 10:57:46 AM"
"66",265705,"6/1/1997 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",523290000,90840000,NA,49032000,NA,1953000,NA,1433860000,9217000,638677000,60881000,"8/14/2020 10:57:46 AM"
